consensus_rank,feature,group,shap_mean_abs,shap_rank,perm_mean,perm_std,perm_rank,avg_rank,gp_include,in_nb05_terminals,justification
42,gender_male,binary_flag,0.013505075,35,-0.00018950653983369482,0.00039153866768636906,51,43.0,True,True,binary clinical flag — direct physiological relevance
43,potassium_max_miss,mar_miss,0.0015208428,52,0.00011161735113860428,8.784030522326494e-05,34,43.0,False,False,categorical/dummy — excluded from GP arithmetic
44,creatinine_miss,mar_miss,0.009124785,39,-0.00013334057440792524,0.00014150417738872923,49,44.0,False,False,categorical/dummy — excluded from GP arithmetic
45,unit_CSICU,unit_dummy,0.0044575334,44,-2.7725692856650497e-05,4.2256742459929634e-05,46,45.0,False,False,categorical/dummy — excluded from GP arithmetic
46,dx_Sepsis_unknown,dx_dummy,0.0041921227,45,-3.4299826215833386e-06,0.00018744252668623026,45,45.0,False,False,categorical/dummy — excluded from GP arithmetic
47,gcs_total_miss,mar_miss,0.0041390504,46,-4.8877252355428166e-05,4.5741139934292115e-05,47,46.5,False,False,categorical/dummy — excluded from GP arithmetic
48,unit_MICU,unit_dummy,0.009425307,38,-0.0003409974389464554,0.00024683796846879607,56,47.0,False,False,categorical/dummy — excluded from GP arithmetic
49,dx_Sepsis_gynecologic,dx_dummy,0.0,54,0.0,0.0,40,47.0,False,False,categorical/dummy — excluded from GP arithmetic
50,map_mean_miss,mar_miss,0.0,57,1.3148266715279355e-05,2.120556685150444e-05,38,47.5,False,False,categorical/dummy — excluded from GP arithmetic
51,heartrate_miss,mar_miss,0.0,55,0.0,0.0,41,48.0,False,False,categorical/dummy — excluded from GP arithmetic
52,albumin_miss,mar_miss,0.0076698703,40,-0.0003555748650875379,0.00021759561222918822,57,48.5,False,False,categorical/dummy — excluded from GP arithmetic
53,respiratoryrate_miss,mar_miss,0.00033929572,53,-1.2862434832339176e-06,2.5922604081801187e-06,44,48.5,False,False,categorical/dummy — excluded from GP arithmetic
54,sodium_miss,mar_miss,0.00391966,48,-0.00016964122381797343,0.00012452900101943227,50,49.0,False,False,categorical/dummy — excluded from GP arithmetic
55,meanbp_miss,mar_miss,0.0,56,0.0,0.0,43,49.5,False,False,categorical/dummy — excluded from GP arithmetic
56,gender_male_miss,mar_miss,0.0,58,0.0,0.0,42,50.0,False,False,categorical/dummy — excluded from GP arithmetic
57,unit_Neuro ICU,unit_dummy,0.002012288,50,-0.00020294063843426802,0.00014535331262109741,53,51.5,False,False,categorical/dummy — excluded from GP arithmetic
58,hematocrit_miss,mar_miss,0.0018852748,51,-0.00028325939815254664,0.0001244498372923076,55,53.0,False,False,categorical/dummy — excluded from GP arithmetic
